OPEID,name,city,state,region,median_debt,default_rate,highest_degree,ownership,locale,hbcu,admit_rate,SAT_avg,online_only,enrollment,net_price,avg_cost,net_tuition,ed_spending_per_student,avg_faculty_salary,pct_PELL,pct_fed_loan,grad_rate,pct_firstgen,med_fam_income,med_alum_earnings
383700,Cardinal Stritch University,Milwaukee,WI,Midwest,24.394,4.9,Graduate,Private nonprofit,Suburb,No,76.9,1046,No,782,18.483,44.172,14.544,6.828,6.582,32.93,52.4,53.48,45.4901961,36,56.514
383800,Carroll University,Waukesha,WI,Midwest,22.469,2.3,Graduate,Private nonprofit,Small City,No,71.77,1165,No,2878,22.987,45.227,16.187,7.463,7.839,22.6,66.32,70.15,27.1565495,79.87,49.867
383900,Carthage College,Kenosha,WI,Midwest,19.5,4.6,Graduate,Private nonprofit,Suburb,No,76.63,1148,No,2620,27.274,59.175,14.105,10.372,8.353,27.1,84.29,62.36,26.2383901,80.809,54.208
384200,Concordia University-Wisconsin,Mequon,WI,Midwest,19,2.4,Graduate,Private nonprofit,Suburb,No,70.53,1150,No,2744,22.996,45.936,15.063,9.925,6.737,25.54,55.99,60.94,31.8387909,58.748,48.626
385600,Lawrence University,Appleton,WI,Midwest,19.5,2.4,Bachelors,Private nonprofit,Small City,No,68.92,1323,No,1419,22.452,62.166,18.404,19.076,8.142,24.22,52.13,78.63,17.3913044,83.776,48.848
2317200,Maranatha Baptist University,Watertown,WI,Midwest,12.278,3.3,Graduate,Private nonprofit,Town,No,80.5,1192,No,589,19.788,27.793,13.667,7.141,4.634,34.05,31.9,55.56,19.1549296,49.012,43.368
386100,Marian University,Fond Du Lac,WI,Midwest,17.5,6.6,Graduate,Private nonprofit,Small City,No,67.67,1028,No,1284,21.771,38.372,15.571,6.352,5.787,39.64,84.55,48.39,38.9696169,57.509,49.088
386300,Marquette University,Milwaukee,WI,Midwest,20.5,1.5,Graduate,Private nonprofit,Large City,No,82.49,1285,No,7828,30.38,59.725,23.166,13.023,9.967,18.51,44.1,83.56,19.3462898,96.3,72.489
386800,Milwaukee School of Engineering,Milwaukee,WI,Midwest,23.5,2,Graduate,Private nonprofit,Large City,No,60.09,1294,No,2492,24.428,53.885,15.956,12.019,9.394,24.36,69.02,69.53,23.5988201,68.352,81.328
386900,Mount Mary University,Milwaukee,WI,Midwest,19.025,4.3,Graduate,Private nonprofit,Large City,No,53.01,984,No,621,20.985,44.284,15.944,10.271,6.548,59.48,74.51,51.3,39.3316195,31.19,45.67
387500,Northland College,Ashland,WI,Midwest,15.75,7.4,Bachelors,Private nonprofit,Town,No,64.3,1138,No,553,19.936,50.029,13.132,9.262,8.336,37.19,69.85,56,20.1413428,52.619,40.467
388400,Ripon College,Ripon,WI,Midwest,19,3.2,Bachelors,Private nonprofit,Town,No,74.06,1095,No,796,20.741,56.059,13.786,13.608,7.469,35.2,67.09,67.3,28.0802292,75.858,49.095
389200,Saint Norbert College,De Pere,WI,Midwest,22.809,1.6,Graduate,Private nonprofit,Suburb,No,84.25,1211,No,1859,26.612,51.383,19.844,11.129,8.416,18.1,62.15,72.57,20.5417607,85.48,52.468
391100,Viterbo University,La Crosse,WI,Midwest,21.5,2.6,Graduate,Private nonprofit,Small City,No,79.25,1131,No,1723,20.201,40.825,15.727,7.847,6.741,27.24,64.36,64.13,28.1622912,67.276,49.016
392600,University of Wisconsin-Whitewater,Whitewater,WI,Midwest,17.762,5.4,Graduate,Public,Town,No,79.92,1105,No,9900,14.417,18.252,6.947,6.731,8.088,26.15,52.05,61.98,29.9623707,70.028,49.599
391700,University of Wisconsin-Eau Claire,Eau Claire,WI,Midwest,14.787,5.1,Graduate,Public,Small City,No,84.36,1170,No,10093,16.051,20.174,6.514,6.561,7.991,22.04,49.48,64.6,21.9840616,79.294,51.869
389900,University of Wisconsin-Green Bay,Green Bay,WI,Midwest,11.483,6.1,Graduate,Public,Small City,No,89.82,1085,No,6657,13.092,17.509,5.072,5.595,6.909,25.99,37.19,56.61,36.3110008,53.209,45.657
391900,University of Wisconsin-La Crosse,La Crosse,WI,Midwest,17.707,1.5,Graduate,Public,Small City,No,75.15,1185,No,9375,14.654,17.514,7.227,7.471,7.567,18.54,49.84,70.93,21.3809812,83.835,54.139
2136600,Wisconsin Lutheran College,Milwaukee,WI,Midwest,19.244,3,Graduate,Private nonprofit,Large City,No,95.62,1172,No,983,20.927,43.118,12.264,9.173,6.72,28.22,75.77,64.09,29.3680297,68.509,47.93
